                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.46405,                0.45138,                0.85629,                0.93503,                0.66845,                0.69683,                0.71658,                 0.6665,                0.66803,                0.69741,                0.71621,                0.69113,                0.34177,                0.29232,                0.81314,                0.73081,               0.009241,               0.009241,               0.009241
                     26,                0.45624,                0.43136,                0.82424,                0.93015,                0.67912,                0.70378,                0.75573,                0.71782,                0.67912,                0.70378,                0.75534,                  0.739,                0.30738,                0.27848,                0.80239,                0.69257,               0.009208,               0.009208,               0.009208
                     27,                0.44848,                0.43107,                0.82483,                0.92604,                0.74619,                0.64212,                0.72768,                 0.6789,                0.74619,                0.64212,                0.72748,                0.70521,                0.30983,                0.28555,                0.84039,                0.70053,               0.009175,               0.009175,               0.009175
                     28,                0.45432,                0.43028,                0.81575,                0.92976,                0.72381,                0.72344,                0.78371,                0.74284,                0.72381,                0.72344,                0.78349,                0.76199,                0.30936,                0.29486,                0.71699,                0.69932,               0.009142,               0.009142,               0.009142
                     29,                0.44952,                0.43843,                0.80609,                0.92585,                0.77222,                0.69354,                0.78828,                0.74308,                0.77222,                0.69354,                0.78771,                   0.77,                 0.3162,                0.30072,                0.70496,                0.70383,               0.009109,               0.009109,               0.009109
                     30,                0.45071,                0.42506,                0.79044,                0.93042,                0.77992,                0.74469,                0.80796,                0.76014,                0.77992,                0.74469,                0.80751,                0.78485,                0.31637,                 0.2882,                0.66312,                0.71016,               0.009076,               0.009076,               0.009076
                     31,                0.43945,                0.42999,                0.77854,                0.92585,                0.80338,                 0.7266,                0.81206,                0.77156,                0.80338,                 0.7266,                0.81169,                0.78932,                0.29477,                0.30124,                0.62939,                0.69231,               0.009043,               0.009043,               0.009043
                     32,                0.43791,                0.41846,                0.76712,                0.92199,                0.73609,                   0.76,                0.80621,                0.76058,                0.73609,                   0.76,                0.80621,                0.78199,                0.30738,                0.29914,                0.62193,                0.69995,                0.00901,                0.00901,                0.00901
                     33,                 0.4406,                0.41062,                0.75738,                0.92276,                0.81015,                 0.6737,                0.78079,                0.74038,                0.81015,                 0.6737,                0.78077,                0.76158,                0.30348,                0.28019,                0.69066,                0.69337,               0.008977,               0.008977,               0.008977
                     34,                0.43942,                 0.4168,                0.75318,                0.92624,                 0.8185,                0.74109,                0.82084,                0.78164,                 0.8185,                0.74109,                0.82051,                0.80125,                0.29084,                0.29034,                0.58225,                 0.6796,               0.008944,               0.008944,               0.008944
                     35,                0.43811,                0.42339,                0.74892,                0.92279,                0.78015,                0.74654,                0.81552,                0.77504,                0.78015,                0.74654,                 0.8152,                0.79537,                0.30332,                0.28483,                0.67572,                0.68498,               0.008911,               0.008911,               0.008911
                     36,                 0.4387,                0.42108,                0.73783,                0.92221,                0.82053,                0.76378,                0.84447,                 0.8029,                0.82053,                0.76378,                0.84428,                0.82545,                0.30605,                0.28264,                0.61374,                 0.6904,               0.008878,               0.008878,               0.008878
                     37,                0.44312,                0.42147,                0.73988,                0.92353,                0.81467,                0.70051,                0.80554,                0.76706,                0.81467,                0.70051,                0.80537,                0.78664,                0.29242,                0.28012,                0.63456,                0.68666,               0.008845,               0.008845,               0.008845
                     38,                0.43832,                0.40919,                0.72856,                0.92252,                0.72265,                0.80031,                0.84151,                0.80299,                0.72265,                0.80031,                 0.8413,                0.82141,                0.28336,                0.28153,                0.58228,                   0.68,               0.008812,               0.008812,               0.008812
                     39,                0.43628,                0.41232,                0.72842,                 0.9239,                0.73715,                0.78643,                0.82829,                0.78808,                0.73715,                0.78643,                 0.8277,                0.80837,                0.28776,                0.27798,                0.59406,                0.68044,               0.008779,               0.008779,               0.008779
                     40,                0.42646,                0.41494,                 0.7022,                 0.9186,                 0.7561,                0.75866,                0.82802,                   0.79,                 0.7561,                0.75866,                0.82742,                0.80509,                0.28313,                0.29767,                0.61901,                0.67799,               0.008746,               0.008746,               0.008746
                     41,                0.43306,                0.41046,                0.72036,                0.91992,                0.83005,                0.76045,                0.85228,                0.80865,                0.83005,                0.76045,                0.85205,                 0.8306,                0.27725,                0.27929,                0.55435,                0.68008,               0.008713,               0.008713,               0.008713
                     42,                0.42797,                0.40874,                 0.6955,                0.92083,                0.76398,                0.74132,                0.81382,                 0.7769,                0.76398,                0.74132,                0.81333,                0.79278,                0.27696,                0.28076,                  0.624,                0.67695,                0.00868,                0.00868,                0.00868
                     43,                0.43184,                 0.4102,                 0.6982,                0.92315,                0.85162,                0.79516,                0.87313,                0.82602,                0.85138,                0.79486,                0.87253,                  0.849,                0.27997,                0.27775,                0.51415,                 0.6774,               0.008647,               0.008647,               0.008647
                     44,                0.42703,                0.40379,                0.69221,                0.92062,                0.85383,                0.78048,                0.86794,                0.82971,                0.85383,                0.78048,                 0.8673,                0.84658,                0.27099,                0.28752,                0.52166,                0.67347,               0.008614,               0.008614,               0.008614
                     45,                0.42687,                0.41302,                0.68708,                0.91994,                0.81637,                 0.8035,                 0.8709,                0.83335,                0.81637,                 0.8035,                0.87048,                0.84898,                0.28028,                0.27539,                0.53001,                0.67626,               0.008581,               0.008581,               0.008581
                     46,                0.42179,                0.39601,                0.66992,                0.91948,                0.87277,                0.75734,                0.86493,                0.82034,                0.87277,                0.75734,                0.86434,                0.84272,                0.28703,                0.28765,                0.56194,                0.68202,               0.008548,               0.008548,               0.008548
                     47,                0.42222,                0.40684,                0.67128,                0.91845,                0.83512,                0.78061,                0.86262,                0.82177,                0.83512,                0.78061,                0.86141,                 0.8419,                0.28624,                0.28335,                0.56193,                0.67904,               0.008515,               0.008515,               0.008515
                     48,                0.42613,                0.41015,                0.66841,                 0.9167,                0.84244,                0.76314,                0.85882,                0.81876,                0.84324,                0.76382,                0.85861,                0.83891,                0.28945,                0.27673,                0.60228,                0.68489,               0.008482,               0.008482,               0.008482
                     49,                0.42396,                0.41422,                0.66374,                 0.9195,                0.82538,                 0.7715,                0.85094,                0.81569,                0.82538,                 0.7715,                0.85069,                0.83257,                0.27965,                0.27648,                0.57349,                0.67675,               0.008449,               0.008449,               0.008449
                     50,                0.42582,                0.40344,                0.65978,                0.92132,                0.82846,                0.82173,                0.88139,                0.84515,                0.82846,                0.82173,                0.88109,                0.86235,                0.27047,                0.27093,                0.51085,                0.67138,               0.008416,               0.008416,               0.008416
                     51,                0.42161,                0.40436,                0.64783,                0.91561,                0.87151,                0.78785,                 0.8759,                0.84252,                0.87124,                0.78756,                0.87536,                0.85882,                0.26208,                0.27173,                0.50667,                0.66431,               0.008383,               0.008383,               0.008383
                     52,                0.42511,                0.41417,                0.65241,                0.91699,                0.82728,                0.83043,                0.86984,                0.82948,                0.82703,                0.83014,                0.86924,                0.84823,                0.27064,                0.27416,                0.51345,                0.67303,                0.00835,                0.00835,                0.00835
