                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.21245,                0.21834,                 1.3844,                 1.1603,                0.81182,                0.77599,                0.86692,                0.81391,                0.81182,                0.77599,                0.86651,                0.84407,                0.13851,                0.12944,                 1.0007,                0.86578,              0.0092415,              0.0092415,              0.0092415
                     26,                0.21001,                 0.2155,                 1.3517,                 1.1591,                0.81841,                0.81847,                0.87655,                0.81688,                0.81841,                0.81847,                0.87471,                0.84909,                0.13922,                0.13116,                  1.004,                0.87396,              0.0092086,              0.0092086,              0.0092086
                     27,                0.21035,                0.21653,                 1.3374,                 1.1597,                0.78882,                0.78774,                0.85929,                0.80584,                0.79055,                 0.7887,                0.86124,                0.83977,                0.13898,                0.12516,                 1.0135,                 0.8613,              0.0091756,              0.0091756,              0.0091756
                     28,                0.21001,                0.22138,                 1.3236,                  1.156,                0.80749,                0.81421,                0.88306,                0.82519,                0.80865,                0.81231,                0.88308,                0.85898,                0.13627,                0.12728,                0.96525,                0.86769,              0.0091426,              0.0091426,              0.0091426
                     29,                0.20888,                0.22145,                 1.3125,                 1.1532,                0.79702,                0.81721,                 0.8699,                0.80998,                0.79627,                0.81586,                 0.8692,                0.84486,                0.13513,                0.12893,                0.94404,                0.86353,              0.0091096,              0.0091096,              0.0091096
                     30,                0.20506,                0.21621,                 1.2856,                 1.1529,                0.76674,                0.82661,                0.85719,                0.80559,                0.76674,                0.82661,                0.85704,                0.83428,                0.12798,                 0.1262,                 1.0612,                0.84354,              0.0090767,              0.0090767,              0.0090767
                     31,                0.20906,                0.21441,                 1.2937,                 1.1541,                0.82141,                0.80973,                0.88056,                0.82435,                0.82141,                0.80973,                0.88001,                0.85825,                0.13182,                0.12687,                 0.9552,                0.84899,              0.0090437,              0.0090437,              0.0090437
                     32,                0.20567,                0.21289,                 1.2843,                 1.1489,                0.85231,                0.78527,                0.88637,                0.82475,                0.85231,                0.78527,                0.88604,                0.85687,                0.15089,                0.12778,                0.93967,                0.90496,              0.0090107,              0.0090107,              0.0090107
                     33,                0.20815,                0.21763,                 1.2741,                 1.1526,                0.81669,                0.82627,                0.88902,                0.83127,                0.81669,                0.82627,                0.88855,                0.86272,                0.13098,                0.12933,                0.88365,                0.85439,              0.0089777,              0.0089777,              0.0089777
                     34,                0.20426,                0.21641,                 1.2326,                 1.1493,                0.83047,                0.79694,                0.88054,                0.82872,                0.83047,                0.79694,                0.87937,                0.85758,                0.12829,                0.13259,                0.93786,                0.83933,              0.0089448,              0.0089448,              0.0089448
                     35,                0.20511,                0.21575,                 1.2432,                 1.1513,                0.82063,                0.81609,                0.88568,                0.83552,                0.82636,                0.80857,                0.88574,                0.86013,                0.12513,                0.13056,                0.86864,                0.83969,              0.0089118,              0.0089118,              0.0089118
                     36,                0.20291,                0.21544,                 1.2321,                 1.1447,                0.84069,                0.79475,                0.89069,                0.84315,                0.84069,                0.79475,                0.88886,                0.86591,                0.12734,                0.13108,                0.88602,                0.84343,              0.0088788,              0.0088788,              0.0088788
